bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
M001194,John,Moolenaar,John Moolenaar,5/8/61,64,"64 years, 5 months",1/3/15,128,10.67,"10 years, 8 months",John,,Moolenaar,,John,,Moolenaar,,,,,,"Midland, Midland County, Mich","graduated from Herbert Henry Dow High School, Midland, Mich., 1979; B.A., Hope College, Holland, Mich., 1983; M.P.A., Harvard University, Cambridge, Mass., 1989; school administrator",
M001212,Barry,Moore,Barry Moore,9/26/66,59,"59 years",1/3/21,56,4.67,"4 years, 8 months",Barry,,Moore,,Barry,,Moore,Mr.,,,Alabama National Guard Alabama Reserve,Yes,"Coffee County, Ala","graduated from Enterprise High School, Enterprise, Ala., 1984; A.S., Enterprise State Junior College, Enterprise, Ala., 1988; attended Troy State University, Troy, Ala.; B.S., Auburn University, Auburn, Ala., 1992",
M001236,Tim,Moore,Tim Moore,10/2/70,54,"55 years",1/3/25,8,0.67,8 months,Tim,,Moore,,Tim,,Moore,,,,,,"Kings Mountain, Cleveland County, N.C","graduated from Kings Mountain High School, Kings Mountain, N.C., 1988; attended Campbell University, Buies Creek, N.C.; B.A., University of North Carolina, Chapel Hill, N.C., 1992; J.D., Oklahoma City University School of Law, Oklahoma City, Okla., 1995",
M001213,Blake,Moore,Blake Moore,6/22/80,45,"45 years, 3 months",1/3/21,56,4.67,"4 years, 8 months",Blake,D.,Moore,,Blake,D.,Moore,Mr.,,,,,"Ogden, Weber County, Utah","graduated from Ogden High School, Ogden, Utah, 1998; attended Utah State University, Logan, Utah; B.A., University of Utah, Salt Lake City, Utah; M.P.P.A., Northwestern University, Evanston, Ill., 2018",
M001235,Riley,Moore,Riley Moore,7/1/80,45,"45 years, 3 months",1/3/25,8,0.67,8 months,Riley,M.,Moore,,Riley,M.,Moore,,,,,,"Morgantown, Monongalia County, W. Va","attended C.S. Monroe Technology Center, Leesburg, Va.; B.A., George Mason University, Fairfax, Va., 2005; M.A., National Defense University, Washington, DC, 2011",
M001160,Gwen,Moore,Gwen Moore,4/18/51,74,"74 years, 5 months",1/3/05,248,20.67,"20 years, 8 months",Gwendolynne,S.,Moore,Gwen,Gwendolynne,S.,Moore,,,,,,"Racine, Racine County, Wis","graduated from Northern Division High School, Milwaukee, Wis., 1969; B.A., Marquette University, Milwaukee, Wis., 1978",
M000934,Jerry,Moran,Jerry Moran,5/29/54,71,"71 years, 4 months",1/3/11,176,14.67,"14 years, 8 months",Jerry,,Moran,,Jerry,,Moran,,,,,,"Great Bend, Barton County, Kans","attended Plainville High School, Plainville, Kans.; graduated University of Kansas, Lawrence, Kans., B.S., 1976; graduated Kansas University School of Law, Lawrence, Kans., J.D., 1981; M.B.A. candidate, Fort Hays State University, Hays, Kans.; instructor, Fort Hays State University, Hays, Kans.; University of Kansas School of Law, Lawrence, Kans., board of governors, serving as vice president 1993-1994, and as president 1994-1995",
M001224,Nathaniel,Moran,Nathaniel Moran,9/23/74,51,"51 years",1/3/23,32,2.67,"2 years, 8 months",Nathaniel,,Moran,,Nathaniel,,Moran,,,,,,,"graduated from Whitehouse High School, Whitehouse, Tex., 1993; attended the United States Military Academy, West Point, N.Y.; B.A., Texas Tech University, Lubbock, Tex., 1997; M.B.A., Texas Tech University, Lubbock, Tex., 1998; J.D., Texas Tech University, Lubbock, Tex., 2002",
M001206,Joseph,Morelle,Joseph Morelle,4/29/57,68,"68 years, 5 months",11/13/18,82,6.83,"6 years, 10 months",Joseph,,Morelle,,Joseph,,Morelle,,,,,,"Utica, Oneida County, N.Y","graduated from Eastridge High School, Irondequoit, N.Y., 1975",
M001242,Bernie,Moreno,Bernie Moreno,2/14/67,58,"58 years, 8 months",1/3/25,8,0.67,8 months,Bernardo,,Moreno,Bernie,Bernardo,,Moreno,,,,,,Bogot&aacute,"graduated Pinecrest Academy in Florida, 1985; B.A., business, University of Michigan, 1989",
M001234,Kelly,Morrison,Kelly Morrison,2/2/69,56,"56 years, 8 months",1/3/25,8,0.67,8 months,Kelly,,Morrison,,Kelly,,Morrison,,,,,,"Minneapolis, Hennepin County, Minn","graduated from The Blake School, Minneapolis, Minn., 1987; B.A., Yale University, New Haven, Conn., 1991; attended Boston University, Boston, Mass.; M.D., Case Western Reserve University, Cleveland, Ohio, 1997",
M001217,Jared,Moskowitz,Jared Moskowitz,12/18/80,44,"44 years, 9 months",1/3/23,32,2.67,"2 years, 8 months",Jared,,Moskowitz,,Jared,,Moskowitz,,,,,,"Coral Springs, Broward County, Fla","graduated from Marjory Stoneman Douglas High School, Parkland, Fla., 1999; B.A., George Washington University, Washington, D.C., 2003; J.D., Nova Southeastern University, Davie, Fla., 2007",
M001196,Seth,Moulton,Seth Moulton,10/24/78,46,"46 years, 11 months",1/3/15,128,10.67,"10 years, 8 months",Seth,,Moulton,,Seth,,Moulton,,,,Marine Corps,Yes,"Salem, Essex County, Mass","graduated from Phillips Academy Andover, Andover, Mass., 1997; B.S., Harvard University, Cambridge, Mass., 2001; M.B.A., M.P.P., Harvard University, Cambridge, Mass., 2011",
M001214,Frank J.,Mrvan,Frank J. Mrvan,4/16/69,56,"56 years, 5 months",1/3/21,56,4.67,"4 years, 8 months",Frank,J.,Mrvan,,Frank,J.,Mrvan,Mr.,,,,,"Hammond, Lake County, Ind","graduated from Oliver P. Morton High School, Hammond, Ind., 1987; B.A., Ball State University, Muncie, Ind., 1992",
M001190,Markwayne,Mullin,Markwayne Mullin,7/26/77,48,"48 years, 2 months",1/3/23,32,2.67,"2 years, 8 months",Markwayne,,Mullin,,Markwayne,,Mullin,,,,,,"Tulsa, Tulsa County, Okla","graduated from Stillwell High School, Stillwell, Okla.; attended Missouri Valley College, Marshall, Mo., 1996; A.A.S., Oklahoma State University Institute of Technology, Okmulgee, Okla., 2010",
M001225,Kevin,Mullin,Kevin Mullin,6/15/70,55,"55 years, 4 months",1/3/23,32,2.67,"2 years, 8 months",Kevin,,Mullin,,Kevin,,Mullin,,,,,,"San Mateo County, Calif","graduated from Junipero Serra High School, San Mateo, Calif., 1988; B.A., University of San Francisco, San Francisco, Calif., 1992; M.P.A., San Francisco State University, San Francisco, Calif., 1998",
M001153,Lisa,Murkowski,Lisa Murkowski,5/22/57,68,"68 years, 4 months",12/20/02,273,22.75,"22 years, 9 months",Lisa,,Murkowski,,Lisa,,Murkowski,,,,,,"Ketchikan, Alaska, on May 22","attended public schools in Fairbanks, AK; attended Willamette University in Salem, Oregon, 1975-1977; B.A. in Economics, Georgetown University 1980; J.D., Willamette College of Law 1985",
M001169,Chris,Murphy,Chris Murphy,8/3/73,52,"52 years, 2 months",1/3/13,152,12.67,"12 years, 8 months",Christopher,,Murphy,,Christopher,,Murphy,,,,,,"White Plains, Westchester County, N.Y","B.A., Williams College, Williamstown, Mass., 1996; attended Exeter College, Oxford, England, 1994-1995; J.D., University of Connecticut, Hartford, Conn., 2002",
M001210,Greg,Murphy,Greg Murphy,3/5/63,62,"62 years, 7 months",9/17/19,72,6,6 years,Gregory,Francis,Murphy,,Gregory,Francis,Murphy,,,,,,"Raleigh, Wake County, N.C","graduated from Raleigh Broughton High School, Raleigh, N.C., 1981; graduated from Davidson College, Davidson, N.C., 1985; M.D., University of North Carolina, Chapel Hill, N.C. 1989",
M001111,Patty,Murray,Patty Murray,10/11/50,74,"75 years",1/3/93,392,32.67,"32 years, 8 months",Patty,,Murray,,Patty,,Murray,,,,,,"Seattle, King County, Wash","graduated, Washington State University 1972; education volunteer 1977-1984; instructor, Shoreline Community College, Shoreline, Wash., 1984-1987; member, board of directors, Shoreline School District 1985-1989, serving as president and legislative representative for two terms; chair, Committee on Veterans Affairs (One Hundred Twelfth Congress), Committee on the Budget (One Hundred Thirteenth Congress), Committee on Health, Education, Labor, and Pensions (One Hundred Seventeenth Congress)",
N000002,Jerry,Nadler,Jerry Nadler,6/13/47,78,"78 years, 4 months",11/3/92,394,32.83,"32 years, 10 months",Jerrold,Lewis,Nadler,,Jerrold,Lewis,Nadler,,,,,,"Brooklyn, Kings County, New York","graduated from Stuyvesant High School, New York, N.Y., 1965; B.A., Columbia University, New York, N.Y., 1969; J.D., Fordham University, New York, N.Y., 1978",
N000015,Richard,Neal,Richard Neal,2/14/49,76,"76 years, 8 months",1/3/89,440,36.67,"36 years, 8 months",Richard,Edmund,Neal,,Richard,Edmund,Neal,,,,,,"Springfield, Hampden County, Mass","graduated from Springfield Technical High School, Springfield, Mass., 1968; B.A., American International College, Springfield, Mass., 1972; M.A., University of Hartford, West Hartford, Conn., 1976",
N000191,Joe,Neguse,Joe Neguse,5/13/84,41,"41 years, 5 months",1/3/19,80,6.67,"6 years, 8 months",Joseph,,Neguse,,Joseph,,Neguse,,,,,,"Bakersfield, Kern County, Calif","graduated from Thunder Ridge High School, Highlands Ranch, Colo., 2002; B.A., University of Colorado, Boulder, Colo., 2005; J.D., University of Colorado, Boulder, Colo., 2009; member of the board of regents of the University of Colorado, Boulder, Colo., 2009-2015",
N000026,Troy,Nehls,Troy Nehls,4/7/68,57,"57 years, 6 months",1/3/21,56,4.67,"4 years, 8 months",Troy,E.,Nehls,,Troy,E.,Nehls,Mr.,,,Army Reserve Wisconsin National Guard,Yes,"Beaver Dam, Dodge County, Wis","graduated from Dodgeland High School, Juneau, Wis., 1986; B.A., Liberty University, Lynchburg, Va.; M.S., University of Houston-Downtown, Houston, Tex.",
N000189,Dan,Newhouse,Dan Newhouse,7/10/55,70,"70 years, 3 months",1/3/15,128,10.67,"10 years, 8 months",Daniel,Milton,Newhouse,,Daniel,Milton,Newhouse,,,,,,"Sunnyside, Yakima County, Wash","graduated from Sunnyside High School, Sunnyside, Wash., 1973; B.S., Washington State University, Pullman, Wash., 1977",
N000188,Donald,Norcross,Donald Norcross,12/13/58,66,"66 years, 10 months",11/12/14,130,10.83,"10 years, 10 months",Donald,,Norcross,,Donald,,Norcross,,,,,,"Camden, Camden County, N.J","graduated from Pennsauken High School, Pennsauken, N.J., 1977; A.S., Camden County College, Camden, N.J., 1979",
N000190,Ralph,Norman,Ralph Norman,6/20/53,72,"72 years, 3 months",6/20/17,99,8.25,"8 years, 3 months",Ralph,,Norman,,Ralph,,Norman,,,,,,"Rock Hill, York County, S.C","graduated from Rock Hill High School, Rock Hill, S.C., 1971; B.S., Presbyterian College, Clinton, S.C., 1975",
N000193,Zach,Nunn,Zach Nunn,5/4/79,46,"46 years, 5 months",1/3/23,32,2.67,"2 years, 8 months",Zach,,Nunn,,Zach,,Nunn,,,,Air Force Air Force Reserve Iowa Air National Guard,Yes,"Story City, Story County, Iowa","graduated from Southeast Polk High School, Pleasant Hill, Iowa, 1998; B.A., Drake University, Des Moines, Iowa, 2002; M.S., Air Command and Staff College, Montgomery, Alabama; M. St., Cambridge University, Cambridge, England, 2007; adjunct professor, Drake University",
O000019,Jay,Obernolte,Jay Obernolte,8/18/70,55,"55 years, 1 months",1/3/21,56,4.67,"4 years, 8 months",Jay,,Obernolte,,Jay,,Obernolte,Mr.,,,,,"Chicago, Cook County, Ill","graduated from Edison High School, Fresno, Calif., 1988; B.S., California Institute of Technology, Pasadena, Calif., 1992; M.S., University of California, Los Angeles, Calif., 1997; D.P.A., California Baptist University, Riverside, Calif., 2020",
O000172,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,10/13/89,35,"36 years",1/3/19,80,6.67,"6 years, 8 months",Alexandria,,Ocasio-Cortez,,Alexandria,,Ocasio-Cortez,,,,,,"New York City, Bronx County, N.Y","graduated from Yorktown High School, Yorktown Heights, N.Y., 2007; B.A., Boston University, Boston, Mass., 2011",
O000175,Andy,Ogles,Andy Ogles,6/18/71,54,"54 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Andy,,Ogles,,Andy,,Ogles,,,,,,"Nashville, Davidson County, Tenn","graduated from Franklin High School, Franklin, Tenn., 1990; B.S., Middle Tennessee State University, Murfreesboro, Tenn., 2007",
O000176,Johnny,Olszewski,Johnny Olszewski,9/10/82,43,"43 years, 1 months",1/3/25,8,0.67,8 months,Johnny,,Olszewski,,Johnny,,Olszewski,,Jr.,,,,"Baltimore, Md","graduated from Sparrows Point High School, Sparrows Point, Md., 2000; B.A., Goucher College, Baltimore, Md., 2004; M.A., The George Washington University, Washington, D.C., 2006; Ph.D., University of Maryland Baltimore County, Baltimore, Md., 2017; adjunct faculty, Goucher College, Baltimore, Md., 2007-2008",
O000173,Ilhan,Omar,Ilhan Omar,10/4/82,42,"43 years",1/3/19,80,6.67,"6 years, 8 months",Ilhan,,Omar,,Ilhan,,Omar,,,,,,"Mogadishu, Somalia","graduated from Edison High School, Minneapolis, Minn., 2001; B.A., North Dakota State University, Fargo, N. Dak., 2011; B.S., North Dakota State University, Fargo, N. Dak., 2011; staff, Minnesota department of education, 2006-2017",
O000177,Bob,Onder,Bob Onder,1/6/62,63,"63 years, 9 months",1/3/25,8,0.67,8 months,Robert,F.,Onder,,Robert,F.,Onder,,Jr.,,,,,"graduated from St. Louis University High School, St. Louis, Mo., 1980; B.A., Washington University, St. Louis, Mo.; M.D., Washington University, St. Louis, Mo., 1987; J.D., St. Louis University, St. Louis, Mo.",
V000135,Derrick Van,Orden,Derrick Van Orden,9/15/69,56,"56 years, 1 months",1/3/23,32,2.67,"2 years, 8 months",Derrick,,Van Orden,,Derrick,,Van Orden,,,,Navy,Yes,"Hennepin County, Minn","B.S., Excelsior University, Albany, NY",
O000174,Jon,Ossoff,Jon Ossoff,2/16/87,38,"38 years, 7 months",1/20/21,56,4.67,"4 years, 8 months",Thomas,Jonathan,Ossoff,Jon,Thomas,Jonathan,Ossoff,,,,,,"Atlanta, Ga","graduated The Paideia School, Atlanta, Ga., 2005; B.S., Georgetown University School of Foreign Service, 2009; M.S., London School of Economics, 2013",
O000086,Burgess,Owens,Burgess Owens,8/2/51,74,"74 years, 2 months",1/3/21,56,4.67,"4 years, 8 months",Burgess,,Owens,,Burgess,,Owens,Mr.,,,,,"Columbus, Franklin County, Ohio","graduated from James S. Rickards High School, Tallahassee, Fla., 1969; B.S., University of Miami, Coral Gables, Fla., 1975",
P000145,Alex,Padilla,Alex Padilla,3/22/73,52,"52 years, 6 months",1/20/21,56,4.67,"4 years, 8 months",Alejandro,,Padilla,Alex,Alejandro,,Padilla,,,,,,"Panorama City, Los Angeles County, Calif","graduated San Fernando High School, San Fernando, Calif., 1990; B.S., mechanical engineering, Massachusetts Institute of Technology, Cambridge, Mass., 1994",
P000034,Frank,Pallone,Frank Pallone,10/30/51,73,"73 years, 11 months",11/8/88,442,36.83,"36 years, 10 months",Frank,,Pallone,,Frank,,Pallone,,Jr.,,,,"Long Branch, Monmouth County, N.J","graduated from Long Branch High School, Long Branch, N.J., 1969; B.A., Middlebury College, Middlebury, Vt., 1973; M.A., Fletcher School of Law and Diplomacy, Tufts University, Medford, Mass., 1974; J.D., Rutgers University School of Law, Camden, N.J., 1978",
P000609,Gary,Palmer,Gary Palmer,5/14/54,71,"71 years, 5 months",1/3/15,128,10.67,"10 years, 8 months",Gary,James,Palmer,,Gary,James,Palmer,,,,,,"Haleyville, Winston County, Ala","graduated from Hackleburg High School, Hackleburg, Ala., 1972; attended Northwest Alabama Junior College, Phil Campbell, Ala., 1972-1974; B.S., University of Alabama, Tuscaloosa, Ala., 1977; president and CEO, public policy research institute",
P000613,Jimmy,Panetta,Jimmy Panetta,10/1/69,55,"56 years",1/3/17,104,8.67,"8 years, 8 months",James,Varni,Panetta,,James,Varni,Panetta,,,,Navy Reserve,Yes,"Washington, D.C","graduated from Carmel High School, Carmel, Calif., 1987; A.A., Monterey Peninsula College, Monterey, Calif., 1989; B.A. University of California, Davis, Calif., 1991; J.D., Santa Clara University, Santa Clara, Calif., 1996",
P000614,Chris,Pappas,Chris Pappas,6/4/80,45,"45 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",Chris,,Pappas,,Chris,,Pappas,,,,,,"Manchester, Hillsborough County, N.H","graduated from Manchester Central High School, Manchester, N.H., 1998; A.B., Harvard University, Cambridge, Mass., 2002",
P000622,Jimmy,Patronis,Jimmy Patronis,4/13/72,53,"53 years, 6 months",4/2/25,5,0.42,5 months,Jimmy,,Patronis,,Jimmy,,Patronis,,,,,,"Panama City, Bay County, Fla","attended Bay High School, Panama City, Fla.; A.A., Gulf Coast Community College (now Gulf Coast State College), Panama City, Fla., 1994; B.A., Florida State University, Tallahassee, Fla., 1996",
P000603,Rand,Paul,Rand Paul,1/7/63,62,"62 years, 9 months",1/3/11,176,14.67,"14 years, 8 months",Rand,,Paul,,Rand,,Paul,,,,,,"Pittsburgh, Pa","attended Baylor University, 1981-1984; graduated Duke University, M.D., 1988",
P000197,Nancy,Pelosi,Nancy Pelosi,3/26/40,85,"85 years, 6 months",6/2/87,459,38.25,"38 years, 3 months",Nancy,,Pelosi,,Nancy,,Pelosi,Ms.,,,,,"Baltimore, Md","graduated from the Institute of Notre Dame, Baltimore, Md., 1958; A.B., Trinity College, 1962",
G000600,Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,6/6/88,37,"37 years, 4 months",1/3/23,32,2.67,"2 years, 8 months",Marie,Gluesenkamp,Perez,,Marie,Gluesenkamp,Perez,,,,,,"Harris County, Tex","B.A., Reed College, Portland, Oreg., 2012",
P000605,Scott,Perry,Scott Perry,5/27/62,63,"63 years, 4 months",1/3/13,152,12.67,"12 years, 8 months",Scott,,Perry,,Scott,,Perry,,,,Army Pennsylvania Army National Guard,Yes,"San Diego, San Diego County, Calif","graduated from Northern High School, Dillsburg, Pa., 1980; B.S., Pennsylvania State University, University Park, Pa., 1991",
P000595,Gary,Peters,Gary Peters,12/1/58,66,"66 years, 10 months",1/3/15,128,10.67,"10 years, 8 months",Gary,C.,Peters,,Gary,C.,Peters,,,,,,"Pontiac, Oakland County, Mich","B.A., Alma College, Alma, Mich., 1980; M.B.A., finance, University of Detroit, Detroit, Mich., 1984; J.D., Wayne State University, Detroit, Mich., 1989; M.A., philosophy, Michigan State University, East Lansing, Mich., 2007; diploma, Naval Command and Staff, U.S. Naval War College, Newport, R.I., 2018; M.A., political science, Wayne State University, Detroit, Mich., 2020; instructor, Oakland University, Rochester, Mich., and Wayne State University, Detroit, Mich.; professor, Central Michigan University",
P000608,Scott,Peters,Scott Peters,6/17/58,67,"67 years, 3 months",1/3/13,152,12.67,"12 years, 8 months",Scott,,Peters,,Scott,,Peters,,,,,,"Springfield, Clark County, Ohio","graduated from Westfield Senior High School, Westfield, N.J., 1976; A.B., Duke University, Durham, N.C., 1980; J.D., New York University, New York, N.Y., 1984",
P000620,Brittany,Pettersen,Brittany Pettersen,12/6/81,43,"43 years, 10 months",1/3/23,32,2.67,"2 years, 8 months",Brittany,,Pettersen,,Brittany,,Pettersen,,,,,,Colorado,"graduated from Chatfield Senior High School, Ken Caryl, Colo., 2000; B.A., Metropolitan State University of Denver, Denver, Colo., 2006",
P000048,August,Pfluger,August Pfluger,12/28/78,46,"46 years, 9 months",1/3/21,56,4.67,"4 years, 8 months",August,,Pfluger,,August,,Pfluger,Mr.,,,Air Force Air Force Reserve,Yes,"Harris County, Tex","graduated from Central High School, San Angelo, Tex., 1996; B.S., United States Air Force Academy, Colorado Springs, Colo., 2000; M.S.A., Embry-Riddle Aeronautical University, Daytona Beach, Fla., 2007; M.S., Air University, Montgomery, Ala., 2012; M.A., Georgetown University, Washington, D.C., 2019",
P000597,Chellie,Pingree,Chellie Pingree,4/2/55,70,"70 years, 6 months",1/3/09,200,16.67,"16 years, 8 months",Chellie,,Pingree,,Chellie,,Pingree,,,,,,"Minneapolis, Hennepin County, Minn","graduated from Marshall-University High School, Minneapolis, Minn., 1971; attended University of Southern Maine, Portland, Maine, 1973; B.A., College of the Atlantic, Bar Harbor, Maine, 1979",
